sku,attribute_set_code,product_type,additional_attributes
822061902,Migration_Default,simple,offline_product=No
ben-lee-tshirt,Migration_Default,configurable,offline_product=No
sauna-suits-boxing,Migration_Default,configurable,offline_product=No
5112,Migration_Default,simple,offline_product=No
5312,Migration_Default,simple,offline_product=No
classic-training-gloves,Migration_Default,configurable,offline_product=No
3010,Migration_Default,simple,offline_product=No
4044,Migration_Default,simple,offline_product=No
69080600,Migration_Default,simple,offline_product=No
69000600,Migration_Default,simple,offline_product=Yes
powershot-heavy-bag-80-and-100-lbs,Migration_Default,configurable,offline_product=No
771501,Migration_Default,simple,offline_product=Yes
EQ2443TN,Migration_Default,simple,offline_product=No
weighted-leather-jump-rope,Migration_Default,configurable,offline_product=No
4007P,Migration_Default,simple,offline_product=No
310200,Migration_Default,simple,offline_product=No
310400,Migration_Default,simple,offline_product=No
mx-headgear,Migration_Default,configurable,offline_product=No
641000-10,Migration_Default,simple,offline_product=No
641200-10,Migration_Default,simple,offline_product=No
641006-10,Migration_Default,simple,offline_product=No
641206-10,Migration_Default,simple,offline_product=No
usa-boxing-amateur-competition-fight-gloves,Migration_Default,configurable,offline_product=No
7800098,Migration_Default,simple,offline_product=No
7800099,Migration_Default,simple,offline_product=No
1,Migration_Default,simple,offline_product=No
101,Migration_Default,simple,offline_product=No
201,Migration_Default,simple,offline_product=No
301,Migration_Default,simple,offline_product=No
5800001,Migration_Default,simple,offline_product=No
5800002,Migration_Default,simple,offline_product=No
5800003,Migration_Default,simple,offline_product=No
5800004,Migration_Default,simple,offline_product=No
5800005,Migration_Default,simple,offline_product=No
5800006,Migration_Default,simple,offline_product=No
5800007,Migration_Default,simple,offline_product=No
5800008,Migration_Default,simple,offline_product=No
5800009,Migration_Default,simple,offline_product=No
5800010,Migration_Default,simple,offline_product=No
5800014,Migration_Default,simple,offline_product=No
5800011,Migration_Default,simple,offline_product=No
5800012,Migration_Default,simple,offline_product=No
5800013,Migration_Default,simple,offline_product=No
