sku,attribute_set_code,product_type,additional_attributes
7800232,Migration_Default,simple,"color=Grey Camo Womens T-Shirt,size=L,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800233,Migration_Default,simple,"color=Grey Camo Womens T-Shirt,size=XL,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
everlast-camo-womens-t-shirt,Migration_Default,configurable,"gender=female,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,offline_product=No,filter_color=Black|Grey,sizing_chart_info=Size Chart_Women's Tees,exclude_tag=Yes"
7800046,Migration_Default,simple,"color=Grey Camo Mens T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800047,Migration_Default,simple,"color=Grey Camo Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800048,Migration_Default,simple,"color=Grey Camo Mens T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800049,Migration_Default,simple,"color=Grey Camo Mens T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800050,Migration_Default,simple,"color=Grey Camo Mens T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800234,Migration_Default,simple,"color=White Camo Mens T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800235,Migration_Default,simple,"color=White Camo Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800236,Migration_Default,simple,"color=White Camo Mens T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800237,Migration_Default,simple,"color=White Camo Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800238,Migration_Default,simple,"color=White Camo Mens T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800239,Migration_Default,simple,"color=Black Camo Mens T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800240,Migration_Default,simple,"color=Black Camo Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800241,Migration_Default,simple,"color=Black Camo Mens T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800242,Migration_Default,simple,"color=Black Camo Mens T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800243,Migration_Default,simple,"color=Black Camo Mens T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
everlast-camo-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,offline_product=No,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees,exclude_tag=Yes"
7800051,Migration_Default,simple,"color=White Fight Mens T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800052,Migration_Default,simple,"color=White Fight Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800053,Migration_Default,simple,"color=White Fight Mens T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800054,Migration_Default,simple,"color=White Fight Mens T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800055,Migration_Default,simple,"color=White Fight Mens T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800244,Migration_Default,simple,"color=Grey Fight Mens T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800245,Migration_Default,simple,"color=Grey Fight Mens T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800246,Migration_Default,simple,"color=Grey Fight Mens T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800247,Migration_Default,simple,"color=Grey Fight Mens T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
